meshKey,ecmCellId,weight
0,17,7.010393154046303e-10
1,17,7.010381010296175e-10
2,17,7.010387857209153e-10
3,17,7.010383697275392e-10
4,17,7.010381695912472e-10
5,17,7.010383697275392e-10
6,17,7.010387857209153e-10
7,17,7.010381010296175e-10
8,17,7.010393154046296e-10
9,17,7.010393154046306e-10
10,17,7.010381010296175e-10
11,17,7.010387857209153e-10
12,17,7.010383697275392e-10
13,17,7.010381695912472e-10
14,17,7.010383697275392e-10
15,17,7.010387857209153e-10
16,17,7.010381010296175e-10
17,17,7.010393154046295e-10
18,17,7.010393154046307e-10
19,17,7.010381010296175e-10
20,17,7.010387857209153e-10
21,17,7.010383697275392e-10
22,17,7.010381695912472e-10
23,17,7.010383697275392e-10
24,17,7.010387857209153e-10
25,17,7.010381010296175e-10
26,17,7.010393154046294e-10
27,17,7.010393154046308e-10
28,17,7.010381010296175e-10
29,17,7.010387857209153e-10
30,17,7.010383697275392e-10
31,17,7.010381695912472e-10
32,17,7.010383697275392e-10
33,17,7.010387857209153e-10
34,17,7.010381010296175e-10
35,17,7.010393154046303e-10
36,17,6.848784335969384e-10
37,17,6.848772472166052e-10
38,17,6.848779161238884e-10
39,17,6.84877509720302e-10
40,17,6.848773141977013e-10
41,17,6.848775097203018e-10
42,17,6.848779161238884e-10
43,17,6.848772472166052e-10
44,17,6.848784335969379e-10
45,17,6.848784335969392e-10
46,17,6.848772472166052e-10
47,17,6.848779161238884e-10
48,17,6.84877509720302e-10
49,17,6.848773141977013e-10
50,17,6.848775097203018e-10
51,17,6.848779161238884e-10
52,17,6.848772472166052e-10
53,17,6.848784335969379e-10
54,17,6.848784335969392e-10
55,17,6.848772472166052e-10
56,17,6.848779161238884e-10
57,17,6.84877509720302e-10
58,17,6.848773141977013e-10
59,17,6.848775097203018e-10
60,17,6.848779161238884e-10
61,17,6.848772472166052e-10
62,17,6.848784335969378e-10
63,17,6.848784335969392e-10
64,17,6.848772472166052e-10
65,17,6.848779161238884e-10
66,17,6.84877509720302e-10
67,17,6.848773141977013e-10
68,17,6.848775097203018e-10
69,17,6.848779161238884e-10
70,17,6.848772472166052e-10
71,17,6.848784335969384e-10
72,17,6.69085703535927e-10
73,17,6.690845445125428e-10
74,17,6.690851979953772e-10
75,17,6.690848009631213e-10
76,17,6.690846099491104e-10
77,17,6.690848009631214e-10
78,17,6.690851979953772e-10
79,17,6.690845445125428e-10
80,17,6.690857035359266e-10
81,17,6.690857035359274e-10
82,17,6.690845445125428e-10
83,17,6.690851979953772e-10
84,17,6.690848009631213e-10
85,17,6.690846099491104e-10
86,17,6.690848009631214e-10
87,17,6.690851979953772e-10
88,17,6.690845445125428e-10
89,17,6.690857035359265e-10
90,17,6.690857035359275e-10
91,17,6.690845445125428e-10
92,17,6.690851979953772e-10
93,17,6.690848009631213e-10
94,17,6.690846099491104e-10
95,17,6.690848009631214e-10
96,17,6.690851979953772e-10
97,17,6.690845445125428e-10
98,17,6.690857035359265e-10
99,17,6.690857035359274e-10
100,17,6.690845445125428e-10
101,17,6.690851979953772e-10
102,17,6.690848009631213e-10
103,17,6.690846099491104e-10
104,17,6.690848009631214e-10
105,17,6.690851979953772e-10
106,17,6.690845445125428e-10
107,17,6.69085703535927e-10
108,17,6.536611252215959e-10
109,17,6.536599929174297e-10
110,17,6.536606313353825e-10
111,17,6.536602434559973e-10
112,17,6.536600568454739e-10
113,17,6.536602434559972e-10
114,17,6.536606313353824e-10
115,17,6.536599929174297e-10
116,17,6.536611252215953e-10
117,17,6.536611252215961e-10
118,17,6.536599929174297e-10
119,17,6.536606313353825e-10
120,17,6.536602434559973e-10
121,17,6.536600568454739e-10
122,17,6.536602434559972e-10
123,17,6.536606313353824e-10
124,17,6.536599929174297e-10
125,17,6.536611252215953e-10
126,17,6.536611252215961e-10
127,17,6.536599929174297e-10
128,17,6.536606313353825e-10
129,17,6.536602434559973e-10
130,17,6.536600568454739e-10
131,17,6.536602434559972e-10
132,17,6.536606313353824e-10
133,17,6.536599929174297e-10
134,17,6.536611252215953e-10
135,17,6.536611252215962e-10
136,17,6.536599929174297e-10
137,17,6.536606313353825e-10
138,17,6.536602434559973e-10
139,17,6.536600568454739e-10
140,17,6.536602434559972e-10
141,17,6.536606313353824e-10
142,17,6.536599929174297e-10
143,17,6.536611252215957e-10
144,17,6.385907004886718e-10
145,17,6.385895942902416e-10
146,17,6.38590217989207e-10
147,17,6.385898390525402e-10
148,17,6.385896567443983e-10
149,17,6.3858983905254e-10
150,17,6.38590217989207e-10
151,17,6.385895942902416e-10
152,17,6.385907004886717e-10
153,17,6.385907004886719e-10
154,17,6.385895942902416e-10
155,17,6.38590217989207e-10
156,17,6.385898390525402e-10
157,17,6.385896567443983e-10
158,17,6.3858983905254e-10
159,17,6.38590217989207e-10
160,17,6.385895942902416e-10
161,17,6.385907004886717e-10
162,17,6.385907004886719e-10
163,17,6.385895942902416e-10
164,17,6.38590217989207e-10
165,17,6.385898390525402e-10
166,17,6.385896567443983e-10
167,17,6.3858983905254e-10
168,17,6.38590217989207e-10
169,17,6.385895942902416e-10
170,17,6.385907004886712e-10
171,17,6.38590700488672e-10
172,17,6.385895942902416e-10
173,17,6.38590217989207e-10
174,17,6.385898390525402e-10
175,17,6.385896567443983e-10
176,17,6.3858983905254e-10
177,17,6.38590217989207e-10
178,17,6.385895942902416e-10
179,17,6.385907004886718e-10
180,17,6.238688300710455e-10
181,17,6.238677493745684e-10
182,17,6.238683586949727e-10
183,17,6.238679884941934e-10
184,17,6.238678103889265e-10
185,17,6.238679884941935e-10
186,17,6.238683586949726e-10
187,17,6.238677493745682e-10
188,17,6.238688300710451e-10
189,17,6.238688300710459e-10
190,17,6.238677493745684e-10
191,17,6.238683586949727e-10
192,17,6.238679884941934e-10
193,17,6.238678103889265e-10
194,17,6.238679884941935e-10
195,17,6.238683586949726e-10
196,17,6.238677493745682e-10
197,17,6.238688300710452e-10
198,17,6.238688300710459e-10
199,17,6.238677493745684e-10
200,17,6.238683586949727e-10
201,17,6.238679884941934e-10
202,17,6.238678103889265e-10
203,17,6.238679884941935e-10
204,17,6.238683586949726e-10
205,17,6.238677493745682e-10
206,17,6.23868830071045e-10
207,17,6.238688300710461e-10
208,17,6.238677493745684e-10
209,17,6.238683586949727e-10
210,17,6.238679884941934e-10
211,17,6.238678103889265e-10
212,17,6.238679884941935e-10
213,17,6.238683586949726e-10
214,17,6.238677493745682e-10
215,17,6.238688300710455e-10
216,17,6.094829156199717e-10
217,17,6.094818598434879e-10
218,17,6.094824551134528e-10
219,17,6.09482093449206e-10
220,17,6.094819194509038e-10
221,17,6.09482093449206e-10
222,17,6.094824551134529e-10
223,17,6.094818598434878e-10
224,17,6.094829156199713e-10
225,17,6.094829156199722e-10
226,17,6.094818598434879e-10
227,17,6.094824551134528e-10
228,17,6.09482093449206e-10
229,17,6.094819194509038e-10
230,17,6.09482093449206e-10
231,17,6.094824551134529e-10
232,17,6.094818598434878e-10
233,17,6.094829156199712e-10
234,17,6.094829156199722e-10
235,17,6.094818598434879e-10
236,17,6.094824551134528e-10
237,17,6.09482093449206e-10
238,17,6.094819194509038e-10
239,17,6.09482093449206e-10
240,17,6.094824551134529e-10
241,17,6.094818598434878e-10
242,17,6.09482915619971e-10
243,17,6.094829156199722e-10
244,17,6.094818598434879e-10
245,17,6.094824551134528e-10
246,17,6.09482093449206e-10
247,17,6.094819194509038e-10
248,17,6.09482093449206e-10
249,17,6.094824551134529e-10
250,17,6.094818598434878e-10
251,17,6.094829156199718e-10
252,14,2.9771647856772505e-10
252,17,2.9771647856772505e-10
253,14,2.9771596284849997e-10
253,17,2.9771596284849997e-10
254,14,2.977162536223236e-10
254,17,2.977162536223236e-10
255,14,2.9771607695878936e-10
255,17,2.9771607695878936e-10
256,14,2.9771599196516525e-10
256,17,2.9771599196516525e-10
257,14,2.977160769587893e-10
257,17,2.977160769587893e-10
258,14,2.9771625362232366e-10
258,17,2.9771625362232366e-10
259,14,2.9771596284849997e-10
259,17,2.9771596284849997e-10
260,14,2.977164785677249e-10
260,17,2.977164785677249e-10
261,14,2.977164785677253e-10
261,17,2.977164785677253e-10
262,14,2.9771596284849997e-10
262,17,2.9771596284849997e-10
263,14,2.977162536223236e-10
263,17,2.977162536223236e-10
264,14,2.9771607695878936e-10
264,17,2.9771607695878936e-10
265,14,2.9771599196516525e-10
265,17,2.9771599196516525e-10
266,14,2.977160769587893e-10
266,17,2.977160769587893e-10
267,14,2.9771625362232366e-10
267,17,2.9771625362232366e-10
268,14,2.9771596284849997e-10
268,17,2.9771596284849997e-10
269,14,2.977164785677249e-10
269,17,2.977164785677249e-10
270,14,2.977164785677253e-10
270,17,2.977164785677253e-10
271,14,2.9771596284849997e-10
271,17,2.9771596284849997e-10
272,14,2.977162536223236e-10
272,17,2.977162536223236e-10
273,14,2.9771607695878936e-10
273,17,2.9771607695878936e-10
274,14,2.9771599196516525e-10
274,17,2.9771599196516525e-10
275,14,2.977160769587893e-10
275,17,2.977160769587893e-10
276,14,2.9771625362232366e-10
276,17,2.9771625362232366e-10
277,14,2.9771596284849997e-10
277,17,2.9771596284849997e-10
278,14,2.977164785677248e-10
278,17,2.977164785677248e-10
279,14,2.977164785677253e-10
279,17,2.977164785677253e-10
280,14,2.9771596284849997e-10
280,17,2.9771596284849997e-10
281,14,2.977162536223236e-10
281,17,2.977162536223236e-10
282,14,2.9771607695878936e-10
282,17,2.9771607695878936e-10
283,14,2.9771599196516525e-10
283,17,2.9771599196516525e-10
284,14,2.977160769587893e-10
284,17,2.977160769587893e-10
285,14,2.9771625362232366e-10
285,17,2.9771625362232366e-10
286,14,2.9771596284849997e-10
286,17,2.9771596284849997e-10
287,14,2.97716478567725e-10
287,17,2.97716478567725e-10
288,14,5.81704956452208e-10
289,14,5.817039487940803e-10
290,14,5.817045169338592e-10
291,14,5.817041717529206e-10
292,14,5.817040056848125e-10
293,14,5.817041717529204e-10
294,14,5.817045169338592e-10
295,14,5.817039487940801e-10
296,14,5.817049564522073e-10
297,14,5.817049564522085e-10
298,14,5.817039487940803e-10
299,14,5.817045169338592e-10
300,14,5.817041717529206e-10
301,14,5.817040056848125e-10
302,14,5.817041717529204e-10
303,14,5.817045169338592e-10
304,14,5.817039487940801e-10
305,14,5.817049564522072e-10
306,14,5.817049564522085e-10
307,14,5.817039487940803e-10
308,14,5.817045169338592e-10
309,14,5.817041717529206e-10
310,14,5.817040056848125e-10
311,14,5.817041717529204e-10
312,14,5.817045169338592e-10
313,14,5.817039487940801e-10
314,14,5.817049564522073e-10
315,14,5.817049564522084e-10
316,14,5.817039487940803e-10
317,14,5.817045169338592e-10
318,14,5.817041717529206e-10
319,14,5.817040056848125e-10
320,14,5.817041717529204e-10
321,14,5.817045169338592e-10
322,14,5.817039487940801e-10
323,14,5.817049564522079e-10
324,14,5.682933143041356e-10
325,14,5.682923298783185e-10
326,14,5.682928849192109e-10
327,14,5.682925476966764e-10
328,14,5.682923854573925e-10
329,14,5.682925476966764e-10
330,14,5.682928849192109e-10
331,14,5.682923298783184e-10
332,14,5.682933143041352e-10
333,14,5.68293314304136e-10
334,14,5.682923298783185e-10
335,14,5.682928849192109e-10
336,14,5.682925476966764e-10
337,14,5.682923854573925e-10
338,14,5.682925476966764e-10
339,14,5.682928849192109e-10
340,14,5.682923298783184e-10
341,14,5.682933143041351e-10
342,14,5.68293314304136e-10
343,14,5.682923298783185e-10
344,14,5.682928849192109e-10
345,14,5.682925476966764e-10
346,14,5.682923854573925e-10
347,14,5.682925476966764e-10
348,14,5.682928849192109e-10
349,14,5.682923298783184e-10
350,14,5.682933143041351e-10
351,14,5.682933143041361e-10
352,14,5.682923298783185e-10
353,14,5.682928849192109e-10
354,14,5.682925476966764e-10
355,14,5.682923854573925e-10
356,14,5.682925476966764e-10
357,14,5.682928849192109e-10
358,14,5.682923298783184e-10
359,14,5.682933143041356e-10
360,14,5.551910316085969e-10
361,14,5.551900698792027e-10
362,14,5.551906121233535e-10
363,14,5.551902826756508e-10
364,14,5.551901241768737e-10
365,14,5.551902826756508e-10
366,14,5.551906121233535e-10
367,14,5.551900698792026e-10
368,14,5.551910316085966e-10
369,14,5.551910316085974e-10
370,14,5.551900698792027e-10
371,14,5.551906121233535e-10
372,14,5.551902826756508e-10
373,14,5.551901241768737e-10
374,14,5.551902826756508e-10
375,14,5.551906121233535e-10
376,14,5.551900698792026e-10
377,14,5.551910316085966e-10
378,14,5.551910316085974e-10
379,14,5.551900698792027e-10
380,14,5.551906121233535e-10
381,14,5.551902826756508e-10
382,14,5.551901241768737e-10
383,14,5.551902826756508e-10
384,14,5.551906121233535e-10
385,14,5.551900698792026e-10
386,14,5.551910316085965e-10
387,14,5.551910316085973e-10
388,14,5.551900698792027e-10
389,14,5.551906121233535e-10
390,14,5.551902826756508e-10
391,14,5.551901241768737e-10
392,14,5.551902826756508e-10
393,14,5.551906121233535e-10
394,14,5.551900698792026e-10
395,14,5.551910316085968e-10
396,14,5.423911092829554e-10
397,14,5.423901697262202e-10
398,14,5.423906994689387e-10
399,14,5.423903776166492e-10
400,14,5.423902227720592e-10
401,14,5.423903776166491e-10
402,14,5.423906994689387e-10
403,14,5.423901697262202e-10
404,14,5.423911092829549e-10
405,14,5.423911092829558e-10
406,14,5.423901697262202e-10
407,14,5.423906994689387e-10
408,14,5.423903776166492e-10
409,14,5.423902227720592e-10
410,14,5.423903776166491e-10
411,14,5.423906994689387e-10
412,14,5.423901697262202e-10
413,14,5.423911092829549e-10
414,14,5.423911092829558e-10
415,14,5.423901697262202e-10
416,14,5.423906994689387e-10
417,14,5.423903776166492e-10
418,14,5.423902227720592e-10
419,14,5.423903776166491e-10
420,14,5.423906994689387e-10
421,14,5.423901697262202e-10
422,14,5.423911092829548e-10
423,14,5.423911092829558e-10
424,14,5.423901697262202e-10
425,14,5.423906994689387e-10
426,14,5.423903776166492e-10
427,14,5.423902227720592e-10
428,14,5.423903776166491e-10
429,14,5.423906994689387e-10
430,14,5.423901697262202e-10
431,14,5.423911092829554e-10
