time_s,JR_mean_T_K,JR_max_T_K,JR_probe_centerline_T_K,JR_probe_radial_edge_T_K,JR_probe_axial_bottom_T_K,JR_probe_axial_top_T_K,Can_mean_T_K,Can_wall_probe_T_K,top_end_T_K,bottom_end_T_K,total_stored_energy_J_rel_t0,total_boundary_heat_loss_J_cumulative,wallheatflux_raw_W_DIAGNOSTIC_ONLY
1.65,298.241451,298.244905,298.24491,298.23467,298.21987,298.2437,298.231018,298.23398,298.15,298.21415,5.3448540511363944,0.013023721363604857,-0.060568863446
1.7,298.244208,298.247781,298.24778,298.23734,298.22214,298.24652,298.233599,298.23665,298.15,298.21639,5.5116783764767865,0.008559328523213061,-0.06250233899799999
1.75,298.246963,298.250656,298.25066,298.24002,298.22443,298.24933,298.236182,298.23932,298.15,298.21863,5.678489785572801,0.004107851927197537,-0.06443756082
1.8,298.249718,298.253532,298.25353,298.2427,298.22672,298.25215,298.238768,298.242,298.15,298.22088,5.845288319507226,-0.00033074950722689067,-0.066374449598
1.85,298.252473,298.256407,298.25641,298.24538,298.22901,298.25497,298.241355,298.24467,298.15,298.22314,6.012073998101387,-0.004756495601387911,-0.068312931244
1.9,298.255227,298.259282,298.25928,298.24806,298.23131,298.25779,298.243944,298.24735,298.15,298.22541,6.1788468683291535,-0.009169433329154764,-0.070252936596
1.95,298.257981,298.262158,298.26216,298.25075,298.23361,298.2606,298.246535,298.25003,298.15,298.22768,6.345606976866531,-0.013569609366531843,-0.072194400819
2.0,298.260734,298.265033,298.26503,298.25344,298.23592,298.26342,298.249127,298.25271,298.15,298.22995,6.5123543661061145,-0.01795706610611525,-0.074137263203
2.05,298.263486,298.267908,298.26791,298.25613,298.23824,298.26624,298.251721,298.2554,298.15,298.23223,6.679089048321163,-0.022331815821164724,-0.076081466566
2.1,298.266239,298.270784,298.27078,298.25882,298.24055,298.26905,298.254316,298.25808,298.15,298.23452,6.845811079872114,-0.026693914872113922,-0.078026957351
2.15,298.268991,298.273659,298.27366,298.26151,298.24288,298.27186,298.256913,298.26077,298.15,298.23681,7.012520457978595,-0.031043360478595794,-0.079973684925
2.2,298.271742,298.276534,298.27653,298.2642,298.2452,298.27468,298.259511,298.26346,298.15,298.23911,7.17921727476141,-0.03538024476141022,-0.081921601582
2.25,298.274493,298.279409,298.27941,298.2669,298.24753,298.27749,298.262111,298.26615,298.15,298.24141,7.345901477707195,-0.039704515207195534,-0.083870662242
