time_s,t_eff_k,q_raw_w
21.5,298.14,-0.048903
21.6,298.14,-0.050313
21.7,298.14,-0.051694
21.8,298.14,-0.053044
21.9,298.14,-0.054363
22.0,298.14,-0.055513
22.1,298.14,-0.054912
22.2,298.14,-0.054166
22.3,298.139,-0.053411
22.4,298.139,-0.052649
22.5,298.139,-0.051879
22.6,298.139,-0.051102
22.7,298.139,-0.050316
22.8,298.139,-0.049522
22.9,298.139,-0.04872
23.0,298.139,-0.047965
23.1,298.139,-0.054279
23.2,298.139,-0.060071
23.3,298.139,-0.065277
23.4,298.138,-0.069891
23.5,298.138,-0.073903
23.6,298.138,-0.077307
23.7,298.138,-0.080095
23.8,298.138,-0.082262
23.9,298.138,-0.083801
24.0,298.138,-0.084667
24.1,298.138,-0.083947
24.2,298.137,-0.08317
24.3,298.137,-0.082375
24.4,298.137,-0.081557
24.5,298.137,-0.080713
24.6,298.137,-0.079841
24.7,298.137,-0.078937
24.8,298.137,-0.077999
24.9,298.136,-0.077025
25.0,298.136,-0.076084
25.1,298.136,-0.078103
25.2,298.136,-0.079684
25.3,298.136,-0.080746
25.4,298.136,-0.081284
25.5,298.136,-0.081295
25.6,298.135,-0.080772
25.7,298.135,-0.079711
25.8,298.135,-0.07811
25.9,298.135,-0.075963
26.0,298.135,-0.073459
26.1,298.135,-0.071459
26.2,298.135,-0.069515
26.3,298.135,-0.06745
26.4,298.134,-0.065276
26.5,298.134,-0.062976
26.6,298.134,-0.06055
26.7,298.134,-0.057997
26.8,298.134,-0.055317
26.9,298.134,-0.05251
27.0,298.134,-0.049575
27.1,298.134,-0.047224
27.2,298.134,-0.045153
27.3,298.134,-0.043051
27.4,298.134,-0.040916
27.5,298.134,-0.038748
27.6,298.133,-0.036547
27.7,298.133,-0.034313
27.8,298.133,-0.032044
27.9,298.133,-0.029741
28.0,298.133,-0.027541
28.1,298.133,-0.026925
28.2,298.133,-0.026477
28.3,298.133,-0.026059
28.4,298.133,-0.025668
28.5,298.133,-0.025303
28.6,298.133,-0.024962
28.7,298.133,-0.024646
28.8,298.133,-0.024351
28.9,298.133,-0.024076
29.0,298.133,-0.023966
29.1,298.133,-0.028524
29.2,298.133,-0.032971
29.3,298.133,-0.037153
29.4,298.133,-0.041061
29.5,298.133,-0.044685
29.6,298.132,-0.048016
29.7,298.132,-0.051045
29.8,298.132,-0.053764
29.9,298.132,-0.056124
30.0,298.132,-0.05803
30.1,298.132,-0.059031
30.2,298.132,-0.059769
30.3,298.132,-0.060449
30.4,298.132,-0.061071
30.5,298.132,-0.061635
30.6,298.132,-0.062139
30.7,298.131,-0.062584
30.8,298.131,-0.062969
30.9,298.131,-0.063287
31.0,298.131,-0.063547
31.1,298.131,-0.063713
31.2,298.131,-0.06385
31.3,298.131,-0.063967
31.4,298.131,-0.064064
31.5,298.131,-0.064142
31.6,298.13,-0.064201
31.7,298.13,-0.064241
31.8,298.13,-0.064263
31.9,298.13,-0.064267
32.0,298.13,-0.064253
32.1,298.13,-0.064277
32.2,298.13,-0.064292
32.3,298.13,-0.064299
32.4,298.13,-0.064299
32.5,298.13,-0.06429
32.6,298.129,-0.064275
32.7,298.129,-0.064252
32.8,298.129,-0.064223
32.9,298.129,-0.064187
33.0,298.129,-0.06412
33.1,298.129,-0.063718
33.2,298.129,-0.063208
33.3,298.129,-0.062614
33.4,298.129,-0.061935
33.5,298.128,-0.061169
33.6,298.128,-0.060314
33.7,298.128,-0.05937
33.8,298.128,-0.058335
33.9,298.128,-0.057208
34.0,298.128,-0.055989
34.1,298.128,-0.054619
34.2,298.128,-0.053124
34.3,298.128,-0.051523
34.4,298.128,-0.049816
34.5,298.128,-0.048
34.6,298.127,-0.046076
34.7,298.127,-0.044043
34.8,298.127,-0.041899
34.9,298.127,-0.039644
35.0,298.127,-0.037231
35.1,298.127,-0.03428
35.2,298.127,-0.031124
35.3,298.127,-0.027808
35.4,298.127,-0.024329
35.5,298.127,-0.020688
35.6,298.127,-0.016882
35.7,298.127,-0.012911
35.8,298.127,-0.008774
35.9,298.127,-0.00447
36.0,298.127,0.0
36.1,298.127,0.0
36.2,298.127,0.0
36.3,298.127,0.0
36.4,298.127,0.0
36.5,298.127,0.0
36.6,298.127,0.0
36.7,298.127,0.0
36.8,298.127,0.0
36.9,298.127,0.0
37.0,298.127,0.0
37.1,298.127,0.0
37.2,298.127,0.0
37.3,298.127,0.0
37.4,298.127,0.0
37.5,298.127,0.0
37.6,298.127,0.0
37.7,298.127,0.0
37.8,298.127,0.0
37.9,298.127,0.0
38.0,298.127,0.0
38.1,298.127,0.0
38.2,298.127,0.0
38.3,298.127,0.0
38.4,298.127,0.0
38.5,298.127,0.0
38.6,298.127,0.0
38.7,298.127,0.0
38.8,298.127,0.0
38.9,298.127,0.0
39.0,298.127,0.0
39.1,298.127,0.0
39.2,298.127,0.0
39.3,298.127,0.0
39.4,298.127,0.0
39.5,298.127,0.0
39.6,298.127,0.0
39.7,298.127,0.0
39.8,298.127,0.0
39.9,298.127,0.0
40.0,298.127,0.0
40.1,298.127,0.0
40.2,298.127,0.0
40.3,298.127,0.0
40.4,298.127,0.0
40.5,298.127,0.0
40.6,298.127,0.0
40.7,298.127,0.0
40.8,298.127,0.0
40.9,298.127,0.0
41.0,298.127,0.0
41.1,298.127,0.0
41.2,298.127,0.0
41.3,298.127,0.0
41.4,298.127,0.0
41.5,298.127,0.0
41.6,298.127,0.0
41.7,298.127,0.0
41.8,298.127,0.0
41.9,298.127,0.0
42.0,298.127,0.0
42.1,298.127,0.0
42.2,298.127,0.0
42.3,298.127,0.0
42.4,298.127,0.0
42.5,298.127,0.0
42.6,298.127,0.0
42.7,298.127,0.0
42.8,298.127,0.0
42.9,298.127,0.0
43.0,298.127,0.0
43.1,298.127,0.0
43.2,298.127,0.0
43.3,298.127,0.0
43.4,298.127,0.0
43.5,298.127,0.0
43.6,298.127,0.0
43.7,298.127,0.0
43.8,298.127,0.0
43.9,298.127,0.0
44.0,298.127,0.0
44.1,298.127,0.0
44.2,298.127,0.0
44.3,298.127,0.0
44.4,298.127,0.0
44.5,298.127,0.0
44.6,298.127,0.0
44.7,298.127,0.0
44.8,298.127,0.0
44.9,298.127,0.0
45.0,298.127,0.0
45.1,298.127,0.0
45.2,298.127,0.0
45.3,298.127,0.0
45.4,298.127,0.0
45.5,298.127,0.0
45.6,298.127,0.0
45.7,298.127,0.0
45.8,298.127,0.0
45.9,298.127,0.0
46.0,298.127,0.0
46.1,298.127,0.0
46.2,298.127,0.0
46.3,298.127,0.0
46.4,298.127,0.0
46.5,298.127,0.0
46.6,298.127,0.0
46.7,298.127,0.0
46.8,298.127,0.0
46.9,298.127,0.0
47.0,298.127,0.0
47.1,298.127,0.0
47.2,298.127,0.0
47.3,298.127,0.0
47.4,298.127,0.0
47.5,298.127,0.0
47.6,298.127,0.0
47.7,298.127,0.0
47.8,298.127,0.0
47.9,298.127,0.0
48.0,298.127,-0.0
48.1,298.127,-0.001742
48.2,298.127,-0.003469
48.3,298.127,-0.005178
48.4,298.127,-0.006869
48.5,298.127,-0.008542
48.6,298.127,-0.010197
48.7,298.127,-0.011832
48.8,298.127,-0.013449
48.9,298.127,-0.015046
49.0,298.127,-0.016572
49.1,298.127,-0.015115
49.2,298.127,-0.013591
49.3,298.127,-0.012051
49.4,298.127,-0.010496
49.5,298.127,-0.008925
49.6,298.127,-0.007337
49.7,298.127,-0.005732
49.8,298.127,-0.00411
49.9,298.127,-0.00247
50.0,298.127,-0.000814
50.1,298.127,-0.000732
50.2,298.127,-0.000651
50.3,298.127,-0.00057
50.4,298.127,-0.000488
50.5,298.127,-0.000407
50.6,298.127,-0.000326
50.7,298.127,-0.000245
50.8,298.127,-0.000164
50.9,298.127,-8.2e-05
51.0,298.127,0.0
51.1,298.127,0.0
51.2,298.127,0.0
51.3,298.127,0.0
51.4,298.127,0.0
51.5,298.127,0.0
51.6,298.127,0.0
51.7,298.127,0.0
51.8,298.127,0.0
51.9,298.127,0.0
52.0,298.127,0.0
52.1,298.127,0.0
52.2,298.127,0.0
52.3,298.127,0.0
52.4,298.127,0.0
52.5,298.127,0.0
52.6,298.127,0.0
52.7,298.127,0.0
52.8,298.127,0.0
52.9,298.127,0.0
53.0,298.127,-0.0
53.1,298.127,-0.000822
