filename,sha256,baseline_sha256,changed_field,old_value,new_value,package_minus_separator,package_minus_negative,package_minus_positive,validation_result
ROOT_A_AXIAL_CLEARANCE_0p10.tbm,c6db74313e675b618f2fb51d371e51231f9e0a2a9f26ca5bdc1f1bde48390343,2c89d2d9a60e5be6a40ca48fcf29e1075fd67b2764e94436c7c9af1119063ea5,Package m_dintHeight,65.11,65.21,-1.90,+0.10,+1.10,2 FAIL (pre-existing sep_feed/sep_tail zeros) | 3 WARN | 13 INFO | 38 PASS — diagnostic-only candidate
ROOT_B_AXIAL_CLEARANCE_HE_0p70.tbm,59f83aa875415d946b1ccb2b6f880a3a98a036e631e3d78993d14edfbbc9ee36,2c89d2d9a60e5be6a40ca48fcf29e1075fd67b2764e94436c7c9af1119063ea5,Package m_dintHeight,65.11,65.81,-1.30,+0.70,+1.70,2 FAIL (pre-existing sep_feed/sep_tail zeros) | 3 WARN | 13 INFO | 38 PASS — diagnostic-only candidate
