time,Tavg_jellyRoll,Tavg_shell,Tavg_cap
0.0,313.15,313.15,313.15
1.0,306.2964232803255,306.25111544316565,306.58451218386347
2.0,306.60499019273067,306.59195195301373,306.7743987984872
3.0,307.3123925486554,307.305679975083,307.43827349495734
4.0,307.45794172934916,307.4486256573327,307.5522645897983
5.0,307.4850614850968,307.4765068082582,307.60610479635375
6.0,307.6401234448239,307.62044167180824,307.78710233805276
7.0,307.67430858581685,307.65793891433316,307.8244340738945
8.0,307.96113088190504,307.9400914653536,308.10915458204033
9.0,307.68353103805043,307.65676099371143,307.8647882719162
10.0,307.5639673697517,307.5431024448268,307.75970243405743
