time,Tavg_jellyRoll,Tavg_shell,Tavg_cap
0.0,313.15,313.15,313.15
1.0,326.76553565174555,326.5593520681063,325.90336756012414
2.0,326.74595310603445,326.5401078731609,325.8846476318852
3.0,326.7145316936251,326.50921183495495,325.85523576415824
4.0,326.68412542310296,326.47925250296635,325.8267536801784
5.0,326.6622651201273,326.45770783756524,325.80627655643906
6.0,326.6440230168288,326.43976031205506,325.789198223429
7.0,326.62777769494943,326.4237517845278,325.7739861045384
8.0,326.6169769921866,326.41310913028,325.7638687548487
9.0,326.6085583494004,326.4048248071903,325.7559875669124
10.0,326.60194580244524,326.39830863787375,325.7497955595423
11.0,326.59828694168,326.3947025444945,325.7463704102017
12.0,326.5963261698941,326.39277318640245,325.7445349776959
13.0,326.5959064827755,326.39235849667773,325.7441425
14.0,326.59708647813846,326.3935211070242,325.74525072730796
15.0,326.5993681276695,326.39576824691505,325.74738818463925
16.0,326.6027961971512,326.3991438947556,325.75059955197827
17.0,326.6068245196805,326.4031113799241,325.7543738382467
18.0,326.61181328018273,326.4080219601329,325.75904740399534
19.0,326.6176001199459,326.4137216101092,325.7644681458495
20.0,326.62354567292806,326.41958035832937,325.7700377492242
21.0,326.6298996193008,326.42583165223067,325.77598806536076
22.0,326.6374965296942,326.43331613846703,325.7831046615594
23.0,326.6444558195259,326.44017426672997,325.7896231041505
24.0,326.65169885489917,326.44730027467966,325.7964068425136
25.0,326.66011712416287,326.45559420977696,325.80429239817687
26.0,326.66762828608057,326.4629960370194,325.8113283814973
27.0,326.67531874053884,326.47056224667773,325.81853092707524
28.0,326.68410834447644,326.4792221339582,325.8267639672227
29.0,326.6918128242406,326.4868137505932,325.8339815612878
30.0,326.69969973645954,326.49457411960134,325.8413681991854
