case,label,T1_rmse_C,T1_final_C,T1_final_err_C,T2_rmse_C,T2_final_C,T2_final_err_C,T3_rmse_C,T3_final_C,T3_final_err_C,T4_rmse_C,T4_final_C,T4_final_err_C,T5_rmse_C,T5_final_C,T5_final_err_C,T6_rmse_C,T6_final_C,T6_final_err_C,mean_rmse_C,mean_rmse_T1_T5_C
baseline,case13 baseline,0.0005146386605160971,25.050790000000006,0.000409619248205928,0.10832751837642195,40.21897000000001,0.05377741570531214,0.15573718326205094,41.60095000000001,0.13979454999671503,0.2818547054168343,42.345290000000034,0.2984157565407344,0.5101165809836312,42.78366,0.5493604489276009,1.486754382158473,32.94293000000005,-0.4749412112947553,0.4238841681429879,0.21131012533989088
capH160,cap-only convection h=160,0.0005332250309758106,25.050820000000044,0.0004396192482438721,0.1127624609416748,40.23352,0.06832741570529777,0.17168716259239117,41.62763000000001,0.16647454999671396,0.31982672165944814,42.39602000000002,0.34914575654072166,0.5841987429851918,42.87601000000001,0.6417104489276113,6.518679757526546,39.571500000000015,6.153628788705213,1.284614678456038,0.23780166264193636
capH290,cap-only convection h=290,0.0005259957448135749,25.050810000000013,0.00042961924821227626,0.11083039887442428,40.22752000000003,0.06232741570532596,0.16503139005979328,41.61662000000001,0.1554645499967151,0.30419435638764714,42.375050000000044,0.3281757565407446,0.553725602782778,42.83775000000003,0.6034504489276316,4.123264931078144,36.8039,3.3860287887051967,0.8762621124879334,0.22686154876989129
capH500,cap-only convection h=500,0.0005214075694080408,25.050800000000038,0.00041961924823752383,0.10979631183273046,40.224109999999996,0.058917415705295184,0.16130057164376604,41.61038000000002,0.14922454999672397,0.29530184541953863,42.36318,0.31630575654070014,0.5363629966812503,42.81612000000001,0.5818204489276155,2.843830098975798,35.24872000000005,1.8308487887052465,0.6578522053537486,0.2206566266293387
topR0p5,top contact R=0.5 K/W,0.0005142530134685845,25.050790000000006,0.000409619248205928,0.10824911225774524,40.21873000000005,0.053537415705349645,0.1554260842225433,41.60053000000005,0.13937454999675225,0.28112479929062967,42.34450000000004,0.2976257565407394,0.508758645201515,42.782280000000014,0.5479804489276177,1.4880423744966405,32.95505000000003,-0.4628212112947736,0.42368587808042374,0.21081457879718038
