time,probe0,probe1
181.0,1.7257e+27,2.03836e+25
182.0,2.42651e+27,2.86614e+25
183.0,3.41192e+27,4.03008e+25
184.0,4.79751e+27,5.6667e+25
185.0,6.74578e+27,7.96795e+25
186.0,9.48525e+27,1.12037e+26
187.0,1.33372e+28,1.57536e+26
188.0,1.87535e+28,2.21512e+26
189.0,2.63693e+28,3.11468e+26
190.0,3.70779e+28,4.37955e+26
191.0,5.21353e+28,6.1581e+26
192.0,7.33076e+28,8.65891e+26
193.0,1.03078e+29,1.21753e+27
194.0,1.44938e+29,1.71197e+27
195.0,2.03797e+29,2.40721e+27
196.0,2.8656e+29,3.38477e+27
197.0,4.02932e+29,4.75934e+27
198.0,5.66564e+29,6.69211e+27
199.0,7.96646e+29,9.40978e+27
200.0,1.12016e+30,1.32311e+28
