case,label,ramp_s,T1_rmse_C,T1_final_C,T1_final_err_C,T2_rmse_C,T2_final_C,T2_final_err_C,T3_rmse_C,T3_final_C,T3_final_err_C,T4_rmse_C,T4_final_C,T4_final_err_C,T5_rmse_C,T5_final_C,T5_final_err_C,T6_rmse_C,T6_final_C,T6_final_err_C,T6_initial_slope_C_per_s,mean_rmse_C,mean_rmse_T1_T5_C
baseline_step,case13 step,,0.0005146386605160971,25.050790000000006,0.000409619248205928,0.10832751837642195,40.21897000000001,0.05377741570531214,0.15573718326205094,41.60095000000001,0.13979454999671503,0.2818547054168343,42.345290000000034,0.2984157565407344,0.5101165809836312,42.78366,0.5493604489276009,1.486754382158473,32.94293000000005,-0.4749412112947553,0.3770032941176455,0.4238841681429879,0.21131012533989088
ramp10s,10 s ramp,10.0,0.0011076786732399475,25.050790000000006,0.000409619248205928,0.3396381005951585,40.21893,0.05373741570529944,0.3726400811310528,41.60091,0.13975454999670234,0.42438370726340396,42.34524000000005,0.29836575654074693,0.5579190163375323,42.78362000000004,0.5493204489276451,1.325716564600998,32.94291000000004,-0.47496121129476165,0.11507207683073158,0.5035675247668976,0.3391377168000775
ramp30s,30 s ramp,30.0,0.003627543681717403,25.050790000000006,0.000409619248205928,1.101522644305253,40.218830000000025,0.05363741570532454,1.1809181775978133,41.60080000000005,0.1396445499967527,1.2102376594547213,42.34512000000001,0.29824575654070884,1.2304742047230681,42.783500000000004,0.549200448927607,0.9864521886851655,32.94287000000003,-0.47500121129477435,0.03835778631452097,0.9522054030746231,0.9453560459525147
ramp50s,50 s ramp,50.0,0.005919121017669631,25.05078000000003,0.00039961924823117556,1.7898013474063295,40.21870000000001,0.0535074157053117,1.9209801288756476,41.60064,0.1394845499967019,1.9632584072702544,42.34495000000004,0.29807575654074014,1.96077225368728,42.78331000000003,0.549010448927632,0.6567365873502917,32.94282000000004,-0.4750512112947618,0.023014761104437502,1.3829113076012456,1.5281462516514364
