time_s,continuous_q_sum_w,restarted_q_sum_w,difference_w
0.015625000,0.000000000,0.000000000,0.000000000
0.031250000,0.000000000,0.000000000,0.000000000
0.046875000,0.000000000,0.000000000,0.000000000
0.062500000,0.000000000,0.000000000,0.000000000
0.078125000,41.180693000,41.180693000,0.000000000
0.093750000,0.000000000,0.000000000,0.000000000
0.109375000,0.000000000,0.000000000,0.000000000
0.125000000,0.000000000,0.000000000,0.000000000
0.140625000,0.000000000,0.000000000,0.000000000
0.156250000,41.180693000,41.180693000,0.000000000
0.171875000,0.000000000,0.000000000,0.000000000
0.187500000,0.000000000,0.000000000,0.000000000
0.203125000,0.000000000,0.000000000,0.000000000
0.218750000,0.000000000,0.000000000,0.000000000
0.234375000,41.180693000,41.180693000,0.000000000
0.250000000,0.000000000,0.000000000,0.000000000
