time,Q_sum_check_W
32,22.987666
32.1,22.991501
32.2,22.994889
32.3,22.995723
32.4,22.999532
32.5,23.002886
32.6,23.00372
32.7,23.007463
32.8,23.010771
32.9,23.011588
33,23.015308
33.1,23.018586
33.2,23.019406
33.3,23.023062
33.4,23.026293
33.5,23.02709
33.6,23.030719
33.7,23.033925
33.8,23.034734
33.9,23.038309
34,23.041467
34.1,23.042253
34.2,23.045807
34.3,23.048937
34.4,23.049729
34.5,23.053223
34.6,23.056311
34.7,23.057081
34.8,23.060558
34.9,23.063622
35,23.064394
35.1,23.067815
35.2,23.070838
35.3,23.071594
35.4,23.074995
35.5,23.077994
35.6,23.078754
35.7,23.082101
35.8,23.085061
35.9,23.08581
36,23.089137
36.1,23.092071
36.2,23.092823
36.3,23.096098
36.4,23.098996
36.5,23.099725
36.6,23.102984
36.7,23.10586
36.8,23.106594
36.9,23.109804
37,23.112645
37.1,23.113366
37.2,23.11656
37.3,23.119377
37.4,23.120099
37.5,23.123245
37.6,23.126028
37.7,23.126732
37.8,23.129858
37.9,23.132622
38,23.133345
38.1,23.136425
38.2,23.139151
38.3,23.139844
38.4,23.142913
38.5,23.145621
38.6,23.14632
38.7,23.149342
38.8,23.152019
38.9,23.152704
39,23.155713
39.1,23.158369
39.2,23.159055
39.3,23.16202
39.4,23.164645
39.5,23.165322
39.6,23.168272
39.7,23.170879
39.8,23.171554
39.9,23.174462
40,23.177038
40.1,23.1777
40.2,23.180597
40.3,23.183155
40.4,23.183822
40.5,23.186677
40.6,23.189205
40.7,23.189859
40.8,23.192702
40.9,23.195212
41,23.195869
41.1,23.19867
41.2,23.201153
41.3,23.201793
41.4,23.204583
41.5,23.207049
41.6,23.207699
41.7,23.210448
41.8,23.212884
41.9,23.213519
42,23.216258
42.1,23.218678
42.2,23.219313
42.3,23.222016
42.4,23.22441
42.5,23.225031
42.6,23.227723
42.7,23.230101
42.8,23.230726
42.9,23.23338
43,23.235732
43.1,23.236349
43.2,23.238992
43.3,23.241327
43.4,23.241946
43.5,23.244552
43.6,23.246861
43.7,23.247464
43.8,23.250061
43.9,23.252358
44,23.252966
44.1,23.255528
44.2,23.257799
44.3,23.258393
44.4,23.260946
44.5,23.263203
44.6,23.263802
44.7,23.266319
44.8,23.268551
44.9,23.269136
45,23.271645
45.1,23.273863
45.2,23.274451
45.3,23.276927
45.4,23.279122
45.5,23.279704
45.6,23.282168
45.7,23.284348
45.8,23.284926
45.9,23.287358
46,23.289517
46.1,23.290086
46.2,23.292511
46.3,23.294656
46.4,23.295227
46.5,23.297617
46.6,23.299739
46.7,23.300301
46.8,23.302686
46.9,23.304794
47,23.305357
47.1,23.30771
47.2,23.309795
47.3,23.310351
47.4,23.312694
47.5,23.314767
47.6,23.315319
47.7,23.317632
47.8,23.319686
47.9,23.320232
48,23.322537
48.1,23.324577
48.2,23.325125
48.3,23.327399
48.4,23.329417
48.5,23.329954
48.6,23.332217
48.7,23.334227
48.8,23.334768
48.9,23.337005
49,23.338991
49.1,23.33952
49.2,23.341751
49.3,23.343725
49.4,23.34426
49.5,23.346459
49.6,23.348412
49.7,23.348939
49.8,23.351132
49.9,23.353071
50,23.353595
50.1,23.355761
50.2,23.357683
50.3,23.358195
50.4,23.360354
50.5,23.362265
50.6,23.362787
50.7,23.364916
50.8,23.366806
50.9,23.367312
51,23.369433
51.1,23.371314
51.2,23.37183
51.3,23.373925
51.4,23.375785
51.5,23.376287
51.6,23.378376
51.7,23.380226
51.8,23.380727
51.9,23.38279
52,23.384621
52.1,23.385119
52.2,23.387175
52.3,23.388996
52.4,23.389488
52.5,23.391518
52.6,23.393321
52.7,23.393808
52.8,23.395833
52.9,23.397626
53,23.398119
53.1,23.400115
53.2,23.401888
53.3,23.402369
53.4,23.404356
53.5,23.406122
53.6,23.406604
53.7,23.40857
53.8,23.410316
53.9,23.410789
54,23.412751
54.1,23.414489
54.2,23.414963
54.3,23.416899
54.4,23.418618
54.5,23.419085
54.6,23.421015
54.7,23.422724
54.8,23.423195
54.9,23.425099
55,23.42679
55.1,23.427247
55.2,23.429149
55.3,23.430832
55.4,23.431296
55.5,23.433172
55.6,23.434837
55.7,23.435288
55.8,23.437159
55.9,23.438817
56,23.439273
56.1,23.441119
56.2,23.442759
56.3,23.443207
56.4,23.445048
56.5,23.446679
56.6,23.447127
56.7,23.448945
56.8,23.450562
56.9,23.451002
57,23.45281
57.1,23.454417
57.2,23.454864
57.3,23.456654
57.4,23.458246
57.5,23.458679
57.6,23.460463
57.7,23.462044
57.8,23.462483
57.9,23.464243
58,23.465808
58.1,23.466237
58.2,23.467992
58.3,23.469551
58.4,23.469982
58.5,23.471717
58.6,23.473259
58.7,23.473683
58.8,23.475409
58.9,23.476944
59,23.477369
59.1,23.479077
59.2,23.480596
59.3,23.481014
59.4,23.482718
59.5,23.484227
59.6,23.484645
59.7,23.486326
59.8,23.487821
59.9,23.488236
60,23.48991
60.1,23.491396
60.2,23.491812
60.3,23.493468
60.4,23.49494
60.5,23.495345
60.6,23.496997
60.7,23.498461
60.8,23.498868
60.9,23.5005
61,23.501949
61.1,23.502351
61.2,23.503974
61.3,23.505418
61.4,23.505818
61.5,23.507425
61.6,23.508854
61.7,23.509247
61.8,23.510851
61.9,23.512272
62,23.512664
62.1,23.514246
62.2,23.515652
62.3,23.516048
62.4,23.51762
62.5,23.519019
62.6,23.519413
62.7,23.520971
62.8,23.522354
62.9,23.522741
63,23.524289
63.1,23.525667
63.2,23.526052
63.3,23.527587
63.4,23.528951
63.5,23.529333
63.6,23.530859
63.7,23.532215
63.8,23.532597
63.9,23.534108
64,23.53545
64.1,23.535825
64.2,23.537331
64.3,23.538666
64.4,23.539043
64.5,23.540529
64.6,23.541852
64.7,23.542218
64.8,23.543703
64.9,23.545019
65,23.545387
65.1,23.546855
65.2,23.548158
65.3,23.548523
65.4,23.549981
65.5,23.551278
65.6,23.551647
65.7,23.553089
65.8,23.554371
65.9,23.554726
66,23.556163
66.1,23.557441
66.2,23.557802
66.3,23.559225
66.4,23.56049
66.5,23.560844
66.6,23.562262
66.7,23.563519
66.8,23.563872
66.9,23.565273
67,23.566518
67.1,23.566869
67.2,23.568264
67.3,23.569502
67.4,23.569849
67.5,23.57123
67.6,23.572457
67.7,23.5728
67.8,23.574176
67.9,23.575396
68,23.575739
68.1,23.577099
68.2,23.578308
68.3,23.578652
68.4,23.580005
68.5,23.581206
68.6,23.581545
68.7,23.582883
68.8,23.584073
68.9,23.58441
69,23.585744
69.1,23.586927
69.2,23.587259
69.3,23.588577
69.4,23.589751
69.5,23.590078
69.6,23.591394
69.7,23.59256
69.8,23.592896
69.9,23.594193
70,23.595346
70.1,23.595669
70.2,23.596964
70.3,23.598114
70.4,23.598446
70.5,23.599723
70.6,23.600859
70.7,23.601179
70.8,23.602452
70.9,23.603584
71,23.603912
71.1,23.605169
71.2,23.606288
71.3,23.606604
71.4,23.60786
71.5,23.608975
71.6,23.609288
71.7,23.61053
71.8,23.611637
71.9,23.611949
72,23.613187
72.1,23.614286
72.2,23.614597
72.3,23.61582
72.4,23.616908
72.5,23.617217
72.6,23.618437
72.7,23.619519
72.8,23.619829
72.9,23.621032
73,23.622104
73.1,23.622402
73.2,23.623604
73.3,23.624671
73.4,23.624975
73.5,23.626162
73.6,23.627219
73.7,23.627524
73.8,23.628705
73.9,23.629754
74,23.63005
74.1,23.631218
74.2,23.632259
74.3,23.632561
74.4,23.633724
74.5,23.634757
74.6,23.635049
74.7,23.636201
74.8,23.637229
74.9,23.637518
75,23.638665
75.1,23.639685
75.2,23.63998
75.3,23.641114
75.4,23.642122
75.5,23.642407
75.6,23.64354
75.7,23.644544
75.8,23.644835
75.9,23.645952
76,23.646946
76.1,23.647225
76.2,23.648341
76.3,23.649331
76.4,23.649618
76.5,23.650719
76.6,23.651698
76.7,23.651975
76.8,23.653073
76.9,23.65405
77,23.654334
77.1,23.655418
77.2,23.656382
77.3,23.656652
77.4,23.657736
77.5,23.658697
77.6,23.658973
77.7,23.660041
77.8,23.660992
77.9,23.661265
78,23.66233
78.1,23.663277
78.2,23.663548
78.3,23.6646
78.4,23.665538
78.5,23.665813
78.6,23.666861
78.7,23.667794
78.8,23.668057
78.9,23.669094
79,23.670018
79.1,23.670281
79.2,23.671317
79.3,23.672236
79.4,23.672503
79.5,23.673524
79.6,23.674433
79.7,23.674696
79.8,23.675715
79.9,23.67662
80,23.676883
80.1,23.677889
80.2,23.678784
80.3,23.679042
80.4,23.680045
80.5,23.680936
80.6,23.681189
80.7,23.682183
80.8,23.683068
80.9,23.68332
81,23.684311
81.1,23.685191
81.2,23.685443
81.3,23.686422
81.4,23.687292
81.5,23.687542
81.6,23.688517
81.7,23.689383
81.8,23.689634
81.9,23.690597
82,23.691455
82.1,23.6917
82.2,23.692659
82.3,23.693514
82.4,23.693765
82.5,23.694714
82.6,23.695558
82.7,23.695796
82.8,23.696741
82.9,23.697584
83,23.697836
83.1,23.69877
83.2,23.6996
83.3,23.699836
83.4,23.700771
83.5,23.7016
83.6,23.701841
83.7,23.702761
83.8,23.703581
83.9,23.703817
84,23.704734
84.1,23.705552
84.2,23.705787
84.3,23.706697
84.4,23.707507
84.5,23.707736
84.6,23.708644
84.7,23.70945
84.8,23.70968
84.9,23.710575
85,23.711373
85.1,23.711604
85.2,23.712496
85.3,23.713289
85.4,23.713521
85.5,23.714402
85.6,23.715187
85.7,23.715412
85.8,23.716292
85.9,23.717076
86,23.7173
86.1,23.718168
86.2,23.718942
86.3,23.719169
86.4,23.720035
86.5,23.720804
86.6,23.721026
86.7,23.721882
86.8,23.722645
86.9,23.722863
87,23.723719
87.1,23.724478
87.2,23.7247
87.3,23.725543
87.4,23.726294
87.5,23.726512
87.6,23.727353
87.7,23.7281
87.8,23.728316
87.9,23.729148
88,23.72989
88.1,23.730102
88.2,23.730933
88.3,23.731671
88.4,23.731884
88.5,23.732703
88.6,23.733435
88.7,23.733647
88.8,23.734464
88.9,23.73519
89,23.7354
89.1,23.736208
89.2,23.736928
89.3,23.737135
89.4,23.737942
89.5,23.738658
89.6,23.738865
89.7,23.73966
89.8,23.740371
89.9,23.740573
90,23.741368
90.1,23.742074
90.2,23.74228
90.3,23.743064
90.4,23.743764
90.5,23.743965
90.6,23.744747
90.7,23.745442
90.8,23.745647
90.9,23.74642
91,23.747108
91.1,23.747305
91.2,23.748076
91.3,23.748763
91.4,23.748961
91.5,23.749724
91.6,23.750403
91.7,23.750599
91.8,23.751359
91.9,23.752034
92,23.752234
92.1,23.752984
92.2,23.753652
92.3,23.753847
92.4,23.754594
92.5,23.75526
92.6,23.755459
92.7,23.756197
92.8,23.756855
92.9,23.757046
93,23.757784
93.1,23.758439
93.2,23.758629
93.3,23.759358
93.4,23.760008
93.5,23.760199
93.6,23.760927
93.7,23.761574
93.8,23.761761
93.9,23.76248
94,23.76312
94.1,23.763309
94.2,23.764025
94.3,23.764662
94.4,23.764845
94.5,23.765554
94.6,23.766186
94.7,23.766368
94.8,23.767075
94.9,23.767705
95,23.767887
95.1,23.768587
95.2,23.76921
95.3,23.769391
95.4,23.770085
95.5,23.770704
95.6,23.770886
95.7,23.771575
95.8,23.772188
95.9,23.772367
96,23.773054
96.1,23.773663
96.2,23.773841
96.3,23.774519
96.4,23.775123
96.5,23.775302
96.6,23.775976
96.7,23.776577
96.8,23.776754
96.9,23.777422
97,23.778019
97.1,23.778191
97.2,23.77886
97.3,23.779453
97.4,23.779626
97.5,23.780283
97.6,23.780871
97.7,23.781042
97.8,23.781698
97.9,23.782283
98,23.782455
98.1,23.783106
98.2,23.783685
98.3,23.783855
98.4,23.784501
98.5,23.785077
98.6,23.785246
98.7,23.785886
98.8,23.786456
98.9,23.786621
99,23.787261
99.1,23.787828
99.2,23.787996
99.3,23.788626
99.4,23.78919
99.5,23.789351
99.6,23.789981
99.7,23.790541
99.8,23.790709
99.9,23.79133
100,23.791884
