time,Q_sum_check_W
0.1,63.768658
0.2,12.251522
0.3,16.936649
0.4,18.719586
0.5,19.69268
0.6,19.748185
0.7,19.764531
0.8,19.685126
0.9,19.733678
1,19.784401
1.1,19.784802
1.2,19.844561
1.3,19.894051
1.4,19.897197
1.5,19.951154
1.6,19.991301
1.7,20.000641
1.8,20.047914
1.9,20.087257
2,20.092679
2.1,20.143467
2.2,20.185873
2.3,20.186993
2.4,20.235354
2.5,20.271629
2.6,20.281362
2.7,20.326044
2.8,20.359497
2.9,20.367372
3,20.410625
3.1,20.443121
3.2,20.451546
3.3,20.492993
3.4,20.524242
3.5,20.532149
3.6,20.572188
3.7,20.602347
3.8,20.610419
3.9,20.648788
4,20.677833
4.1,20.685454
4.2,20.722562
4.3,20.750571
4.4,20.758308
4.5,20.793852
4.6,20.820863
4.7,20.829734
4.8,20.861132
4.9,20.887882
5,20.892783
5.1,20.92731
5.2,20.956521
5.3,20.958953
5.4,20.991777
5.5,21.019701
5.6,21.022031
5.7,21.053625
5.8,21.080552
5.9,21.082816
6,21.113317
6.1,21.139351
6.2,21.141861
6.3,21.171182
6.4,21.196232
6.5,21.198506
6.6,21.226891
6.7,21.251101
6.8,21.253579
6.9,21.280834
7,21.30417
7.1,21.307403
7.2,21.333373
7.3,21.35564
7.4,21.357709
7.5,21.383103
7.6,21.404905
7.7,21.408163
7.8,21.432346
7.9,21.453106
8,21.455169
8.1,21.47882
8.2,21.499158
8.3,21.502324
8.4,21.524865
8.5,21.544243
8.6,21.546282
8.7,21.568338
8.8,21.587332
8.9,21.590401
9,21.611437
9.1,21.62954
9.2,21.631558
9.3,21.652147
9.4,21.669898
9.5,21.672858
9.6,21.692513
9.7,21.709448
9.8,21.711429
9.9,21.730674
10,21.747286
10.1,21.750146
10.2,21.768531
10.3,21.784387
10.4,21.786318
10.5,21.80433
10.6,21.819895
10.7,21.822642
10.8,21.839862
10.9,21.85473
11,21.857205
11.1,21.87382
11.2,21.888243
11.3,21.890638
11.4,21.906804
11.5,21.920791
11.6,21.923239
11.7,21.938829
11.8,21.952372
11.9,21.954667
12,21.969848
12.1,21.982995
12.2,21.985354
12.3,22.000002
12.4,22.012737
12.5,22.01495
12.6,22.029221
12.7,22.041591
12.8,22.043862
12.9,22.057642
13,22.069631
13.1,22.071766
13.2,22.08518
13.3,22.096843
13.4,22.099027
13.5,22.112014
13.6,22.123319
13.7,22.125377
13.8,22.138026
13.9,22.149028
14,22.15113
14.1,22.16338
14.2,22.174051
14.3,22.176024
14.4,22.187971
14.5,22.198367
14.6,22.200384
14.7,22.211957
14.8,22.222045
14.9,22.223952
15,22.235246
15.1,22.245077
15.2,22.24701
15.3,22.25796
15.4,22.267512
15.5,22.269348
15.6,22.280042
15.7,22.289354
15.8,22.291211
15.9,22.301585
16,22.310639
16.1,22.312404
16.2,22.322546
16.3,22.331381
16.4,22.333174
16.5,22.343013
16.6,22.351604
16.7,22.353304
16.8,22.362933
16.9,22.371325
17,22.373048
17.1,22.382398
17.2,22.390566
17.3,22.392208
17.4,22.401364
17.5,22.409345
17.6,22.411004
17.7,22.419897
17.8,22.427666
17.9,22.429253
18,22.437972
18.1,22.445577
18.2,22.447169
18.3,22.455645
18.4,22.463051
18.5,22.464588
18.6,22.472898
18.7,22.48015
18.8,22.481685
18.9,22.489772
19,22.496842
19.1,22.49832
19.2,22.506256
19.3,22.513184
19.4,22.514671
19.5,22.522394
19.6,22.52915
19.7,22.530579
19.8,22.538167
19.9,22.544793
20,22.546235
20.1,22.553622
20.2,22.560085
20.3,22.561469
20.4,22.568732
20.5,22.575076
20.6,22.576464
20.7,22.583537
20.8,22.589735
20.9,22.591079
21,22.598041
21.1,22.604125
21.2,22.605468
21.3,22.612249
21.4,22.618198
21.5,22.6195
21.6,22.626181
21.7,22.632023
21.8,22.633325
21.9,22.639838
22,22.645554
22.1,22.646812
22.2,22.653234
22.3,22.65885
22.4,22.660116
22.5,22.666376
22.6,22.671872
22.7,22.673094
22.8,22.679272
22.9,22.684678
23,22.685902
23.1,22.69193
23.2,22.697225
23.3,22.698417
23.4,22.704367
23.5,22.709576
23.6,22.71077
23.7,22.716578
23.8,22.72168
23.9,22.722835
24,22.728573
24.1,22.733599
24.2,22.734755
24.3,22.740361
24.4,22.745288
24.5,22.746411
24.6,22.75195
24.7,22.756805
24.8,22.757935
24.9,22.763347
25,22.768107
25.1,22.769201
25.2,22.774554
25.3,22.779248
25.4,22.780344
25.5,22.785581
25.6,22.790186
25.7,22.791255
25.8,22.796433
25.9,22.800974
26,22.802036
26.1,22.807105
26.2,22.811567
26.3,22.812605
26.4,22.817622
26.5,22.822024
26.6,22.82306
26.7,22.827972
26.8,22.832295
26.9,22.833311
27,22.838173
27.1,22.842441
27.2,22.84345
27.3,22.848214
27.4,22.852408
27.5,22.8534
27.6,22.858117
27.7,22.862259
27.8,22.863246
27.9,22.867869
28,22.871942
28.1,22.87291
28.2,22.87749
28.3,22.881515
28.4,22.882482
28.5,22.886972
28.6,22.89093
28.7,22.891874
28.8,22.896326
28.9,22.900238
29,22.90118
29.1,22.905548
29.2,22.909398
29.3,22.910323
29.4,22.914646
29.5,22.918455
29.6,22.919383
29.7,22.923631
29.8,22.927378
29.9,22.928283
30,22.932497
30.1,22.936202
30.2,22.937108
30.3,22.941244
30.4,22.944895
30.5,22.945779
30.6,22.949884
30.7,22.953495
30.8,22.954384
30.9,22.958414
31,22.96197
31.1,22.962837
31.2,22.966838
31.3,22.97036
31.4,22.971227
31.5,22.975157
31.6,22.978629
31.7,22.979484
31.8,22.983385
31.9,22.986818
