time_s,Tavg_K
0.0,313.15
0.1,299.7948906491306
0.2,304.36791364684643
0.3,309.66772509578544
0.4,314.9735053028294
0.5,319.2554381841291
0.6,322.07630248636895
0.7,323.79148521625405
0.8,324.831432033967
0.9,325.4375229594017
1.0,325.7902046212791
1.1,325.9944538619953
1.2,326.11390793692897
1.3,326.18343847480105
1.4,326.2239327744621
1.5,326.24790377394635
1.6,326.26206825965227
1.7,326.2703703654583
1.8,326.2752875449455
1.9,326.2781749071618
2.0,326.27983802866197
2.1,326.28083204538757
2.2,326.2813959394341
2.3,326.28173936229
2.4,326.2819460698497
2.5,326.28206034261717
2.6,326.28211600206305
2.7,326.2821653927203
2.8,326.28220795387557
2.9,326.2822415347775
3.0,326.2822415347775
3.1,326.28226982316534
3.2,326.28226982316534
3.3,326.28226982316534
3.4,326.28226982316534
3.5,326.28226982316534
3.6,326.28226982316534
3.7,326.28226982316534
3.8,326.28226982316534
3.9,326.28226982316534
4.0,326.28226982316534
4.1,326.28226982316534
4.2,326.28226982316534
4.3,326.28226982316534
4.4,326.28226982316534
4.5,326.28226982316534
4.6,326.28226982316534
4.7,326.28226982316534
4.8,326.28226982316534
4.9,326.28226982316534
5.0,326.28226982316534
5.1,326.28226982316534
5.2,326.28226982316534
5.3,326.28226982316534
5.4,326.28226982316534
5.5,326.28226982316534
5.6,326.28226982316534
5.7,326.28226982316534
5.8,326.28226982316534
5.9,326.28226982316534
6.0,326.28226982316534
6.1,326.28226982316534
6.2,326.28226982316534
6.3,326.28226982316534
6.4,326.28226982316534
6.5,326.28226982316534
6.6,326.28226982316534
6.7,326.28226982316534
6.8,326.28226982316534
6.9,326.28226982316534
7.0,326.28226982316534
7.1,326.28226982316534
7.2,326.28226982316534
7.3,326.28226982316534
7.4,326.28226982316534
7.5,326.28226982316534
7.6,326.28226982316534
7.7,326.28226982316534
7.8,326.28226982316534
7.9,326.28226982316534
8.0,326.28226982316534
