time_s,Q_sum_check_W,Tavg_jellyRoll_K
289.911, 51.188820, NA
290.030, 51.188825, NA
290.149, 51.188831, NA
290.268, 51.188836, NA
290.386, 51.188842, NA
299.528, 51.189224, NA
299.646, 51.189229, NA
299.765, 51.189233, NA
299.884, 51.189238, NA
300.003, 51.189242, 334.160240
