time_s,Q_sum_check_W,Tavg_jellyRoll_K
0.023, 37.979711, NA
0.046, 37.976396, NA
0.069, 37.971432, NA
0.093, 37.965653, NA
0.116, 37.959475, NA
0.139, 37.953106, NA
0.162, 37.946650, NA
0.185, 37.940159, NA
0.208, 37.933658, NA
0.232, 37.927159, NA
0.255, 37.920669, NA
0.278, 37.914190, NA
0.301, 37.907725, NA
0.324, 37.901272, NA
0.347, 37.894833, NA
0.370, 37.888407, NA
0.394, 37.881994, NA
0.417, 37.875594, NA
0.440, 37.869207, NA
0.463, 37.862831, NA
0.486, 37.856468, NA
9.515, 35.845574, NA
9.538, 35.841244, NA
9.561, 35.836917, NA
9.584, 35.832593, NA
9.607, 35.828272, NA
9.630, 35.823955, NA
9.654, 35.819641, NA
9.677, 35.815330, NA
9.700, 35.811022, NA
9.723, 35.806717, NA
9.746, 35.802416, NA
9.769, 35.798118, NA
9.793, 35.793823, NA
9.816, 35.789531, NA
9.839, 35.785243, NA
9.862, 35.780957, NA
9.885, 35.776675, NA
9.908, 35.772396, NA
9.931, 35.768121, NA
9.955, 35.763848, NA
9.978, 35.759578, NA
10.001, 35.755312, NA
10.024, 35.751049, NA
10.047, 35.746789, NA
10.070, 35.742532, NA
10.093, 35.738278, NA
10.117, 35.734028, NA
10.140, 35.729780, NA
10.163, 35.725536, NA
10.186, 35.721295, NA
10.209, 35.717057, NA
10.232, 35.712822, NA
10.256, 35.708590, NA
10.279, 35.704361, NA
10.302, 35.700135, NA
10.325, 35.695913, NA
10.348, 35.691693, NA
10.371, 35.687477, NA
10.394, 35.683264, NA
10.418, 35.679053, NA
10.441, 35.674846, NA
10.464, 35.670642, NA
10.487, 35.666441, NA
19.516, 34.227837, NA
19.539, 34.224589, NA
19.562, 34.221344, NA
19.585, 34.218101, NA
19.608, 34.214859, NA
19.631, 34.211619, NA
19.654, 34.208382, NA
19.678, 34.205146, NA
19.701, 34.201913, NA
19.724, 34.198681, NA
19.747, 34.195451, NA
19.770, 34.192223, NA
19.793, 34.188997, NA
19.817, 34.185773, NA
19.840, 34.182551, NA
19.863, 34.179331, NA
19.886, 34.176113, NA
19.909, 34.172897, NA
19.932, 34.169682, NA
19.955, 34.166470, NA
19.979, 34.163260, NA
20.002, 34.160051, NA
20.025, 34.156844, NA
20.048, 34.153640, NA
20.071, 34.150437, NA
20.094, 34.147236, NA
20.118, 34.144037, NA
20.141, 34.140840, NA
20.164, 34.137645, NA
20.187, 34.134452, NA
20.210, 34.131260, NA
20.233, 34.128071, NA
20.256, 34.124883, NA
20.280, 34.121698, NA
20.303, 34.118514, NA
20.326, 34.115332, NA
20.349, 34.112152, NA
20.372, 34.108974, NA
20.395, 34.105798, NA
20.418, 34.102624, NA
20.442, 34.099452, NA
20.465, 34.096281, NA
20.488, 34.093113, NA
29.516, 32.985567, NA
29.540, 32.983021, NA
29.563, 32.980477, NA
29.586, 32.977934, NA
29.609, 32.975392, NA
29.632, 32.972851, NA
29.655, 32.970312, NA
29.679, 32.967774, NA
29.702, 32.965238, NA
29.725, 32.962703, NA
29.748, 32.960169, NA
29.771, 32.957637, NA
29.794, 32.955106, NA
29.817, 32.952576, NA
29.841, 32.950047, NA
29.864, 32.947520, NA
29.887, 32.944994, NA
29.910, 32.942470, NA
29.933, 32.939947, NA
29.956, 32.937425, NA
29.979, 32.934905, NA
30.003, 32.932386, NA
30.026, 32.929868, NA
30.049, 32.927351, NA
30.072, 32.924836, NA
30.095, 32.922322, NA
30.118, 32.919810, NA
30.142, 32.917299, NA
30.165, 32.914789, NA
30.188, 32.912280, NA
30.211, 32.909773, NA
30.234, 32.907267, NA
30.257, 32.904763, NA
30.280, 32.902260, NA
30.304, 32.899758, NA
30.327, 32.897257, NA
30.350, 32.894758, NA
30.373, 32.892260, NA
30.396, 32.889763, NA
30.419, 32.887268, NA
30.442, 32.884774, NA
30.466, 32.882281, NA
30.489, 32.879789, NA
39.517, 31.998831, NA
39.541, 31.996784, NA
39.564, 31.994738, NA
39.587, 31.992693, NA
39.610, 31.990649, NA
39.633, 31.988606, NA
39.656, 31.986564, NA
39.679, 31.984523, NA
39.703, 31.982483, NA
39.726, 31.980444, NA
39.749, 31.978406, NA
39.772, 31.976369, NA
39.795, 31.974333, NA
39.818, 31.972298, NA
39.841, 31.970264, NA
39.865, 31.968230, NA
39.888, 31.966198, NA
39.911, 31.964167, NA
39.934, 31.962137, NA
39.957, 31.960108, NA
39.980, 31.958079, NA
40.004, 31.956052, NA
40.027, 31.954026, NA
40.050, 31.952001, NA
40.073, 31.949976, NA
40.096, 31.947953, NA
40.119, 31.945930, NA
40.142, 31.943909, NA
40.166, 31.941889, NA
40.189, 31.939869, NA
40.212, 31.937851, NA
40.235, 31.935833, NA
40.258, 31.933816, NA
40.281, 31.931801, NA
40.304, 31.929786, NA
40.328, 31.927773, NA
40.351, 31.925760, NA
40.374, 31.923748, NA
40.397, 31.921737, NA
40.420, 31.919728, NA
40.443, 31.917719, NA
40.467, 31.915711, NA
40.490, 31.913704, NA
49.518, 31.198683, NA
49.541, 31.197009, NA
49.565, 31.195337, NA
49.588, 31.193665, NA
49.611, 31.191994, NA
49.634, 31.190323, NA
49.657, 31.188654, NA
49.680, 31.186985, NA
49.703, 31.185317, NA
49.727, 31.183649, NA
49.750, 31.181983, NA
49.773, 31.180317, NA
49.796, 31.178652, NA
49.819, 31.176987, NA
49.842, 31.175324, NA
49.865, 31.173661, NA
49.889, 31.171999, NA
49.912, 31.170337, NA
49.935, 31.168677, NA
49.958, 31.167017, NA
49.981, 31.165358, NA
50.004, 31.163699, NA
50.028, 31.162042, NA
50.051, 31.160385, NA
50.074, 31.158729, NA
50.097, 31.157073, NA
50.120, 31.155419, NA
50.143, 31.153765, NA
50.166, 31.152112, NA
50.190, 31.150459, NA
50.213, 31.148808, NA
50.236, 31.147157, NA
50.259, 31.145507, NA
50.282, 31.143857, NA
50.305, 31.142208, NA
50.328, 31.140560, NA
50.352, 31.138913, NA
50.375, 31.137267, NA
50.398, 31.135621, NA
50.421, 31.133976, NA
50.444, 31.132332, NA
50.467, 31.130688, NA
50.491, 31.129045, NA
59.519, 30.540615, NA
59.542, 30.539231, NA
59.565, 30.537847, NA
59.589, 30.536464, NA
59.612, 30.535082, NA
59.635, 30.533700, NA
59.658, 30.532319, NA
59.681, 30.530938, NA
59.704, 30.529558, NA
59.727, 30.528178, NA
59.751, 30.526799, NA
59.774, 30.525421, NA
59.797, 30.524043, NA
59.820, 30.522666, NA
59.843, 30.521290, NA
59.866, 30.519914, NA
59.890, 30.518538, NA
59.913, 30.517164, NA
59.936, 30.515789, NA
59.959, 30.514416, NA
59.982, 30.513043, NA
60.005, 30.511670, NA
60.028, 30.510299, NA
60.052, 30.508927, NA
60.075, 30.507557, NA
60.098, 30.506186, NA
60.121, 30.504817, NA
60.144, 30.503448, NA
60.167, 30.502080, NA
60.190, 30.500712, NA
60.214, 30.499345, NA
60.237, 30.497978, NA
60.260, 30.496612, NA
60.283, 30.495247, NA
60.306, 30.493882, NA
60.329, 30.492518, NA
60.353, 30.491154, NA
60.376, 30.489791, NA
60.399, 30.488428, NA
60.422, 30.487066, NA
60.445, 30.485705, NA
60.468, 30.484344, NA
60.491, 30.482984, NA
69.520, 29.993862, NA
69.543, 29.992707, NA
69.566, 29.991552, NA
69.589, 29.990398, NA
69.613, 29.989245, NA
69.636, 29.988092, NA
69.659, 29.986939, NA
69.682, 29.985787, NA
69.705, 29.984635, NA
69.728, 29.983484, NA
69.751, 29.982333, NA
69.775, 29.981183, NA
69.798, 29.980033, NA
69.821, 29.978884, NA
69.844, 29.977735, NA
69.867, 29.976587, NA
69.890, 29.975439, NA
69.914, 29.974291, NA
69.937, 29.973144, NA
69.960, 29.971998, NA
69.983, 29.970852, NA
70.006, 29.969706, NA
70.029, 29.968561, NA
70.052, 29.967416, NA
70.076, 29.966272, NA
70.099, 29.965129, NA
70.122, 29.963985, NA
70.145, 29.962843, NA
70.168, 29.961700, NA
70.191, 29.960559, NA
70.214, 29.959417, NA
70.238, 29.958276, NA
70.261, 29.957136, NA
70.284, 29.955996, NA
70.307, 29.954857, NA
70.330, 29.953718, NA
70.353, 29.952579, NA
70.377, 29.951441, NA
70.400, 29.950303, NA
70.423, 29.949166, NA
70.446, 29.948029, NA
70.469, 29.946893, NA
70.492, 29.945758, NA
79.521, 29.536139, NA
79.544, 29.535169, NA
79.567, 29.534199, NA
79.590, 29.533230, NA
79.613, 29.532261, NA
79.637, 29.531293, NA
79.660, 29.530325, NA
79.683, 29.529357, NA
79.706, 29.528389, NA
79.729, 29.527422, NA
79.752, 29.526456, NA
79.776, 29.525490, NA
79.799, 29.524524, NA
79.822, 29.523558, NA
79.845, 29.522593, NA
79.868, 29.521629, NA
79.891, 29.520664, NA
79.914, 29.519700, NA
79.938, 29.518737, NA
79.961, 29.517774, NA
79.984, 29.516811, NA
80.007, 29.515848, NA
80.030, 29.514886, NA
80.053, 29.513925, NA
80.076, 29.512963, NA
80.100, 29.512003, NA
