time,probe0,probe1,probe2
117.0,1.00334e+19,5.33468e+18,2.02367e+18
118.0,1.4108e+19,7.5011e+18,2.84548e+18
119.0,1.98373e+19,1.05473e+19,4.00104e+18
120.0,2.78932e+19,1.48306e+19,5.62587e+18
121.0,3.92207e+19,2.08533e+19,7.91054e+18
122.0,5.51483e+19,2.93219e+19,1.1123e+19
123.0,7.7544e+19,4.12295e+19,1.56401e+19
124.0,1.09035e+20,5.79729e+19,2.19916e+19
125.0,1.53314e+20,8.15157e+19,3.09224e+19
126.0,2.15575e+20,1.14619e+20,4.348e+19
127.0,3.0312e+20,1.61166e+20,6.11372e+19
128.0,4.26218e+20,2.26616e+20,8.59652e+19
129.0,5.99306e+20,3.18646e+20,1.20876e+20
130.0,8.42684e+20,4.48048e+20,1.69964e+20
131.0,1.1849e+21,6.30001e+20,2.38986e+20
132.0,1.66609e+21,8.85845e+20,3.36039e+20
133.0,2.34269e+21,1.24559e+21,4.72504e+20
134.0,3.29406e+21,1.75142e+21,6.64389e+20
135.0,4.63178e+21,2.46268e+21,9.34198e+20
136.0,6.51275e+21,3.46278e+21,1.31358e+21
137.0,9.15759e+21,4.86901e+21,1.84702e+21
138.0,1.28765e+22,6.84633e+21,2.5971e+21
139.0,1.81057e+22,9.62663e+21,3.65179e+21
140.0,2.54584e+22,1.3536e+22,5.13478e+21
141.0,3.57971e+22,1.9033e+22,7.22003e+21
142.0,5.03344e+22,2.67624e+22,1.01521e+22
143.0,7.07752e+22,3.76306e+22,1.42749e+22
144.0,9.95171e+22,5.29124e+22,2.00719e+22
145.0,1.39931e+23,7.44002e+22,2.82231e+22
146.0,1.96757e+23,1.04614e+23,3.96846e+22
147.0,2.76661e+23,1.47098e+23,5.58006e+22
148.0,3.89013e+23,2.06835e+23,7.84613e+22
149.0,5.46992e+23,2.90831e+23,1.10324e+23
150.0,7.69126e+23,4.08938e+23,1.55127e+23
151.0,1.08147e+24,5.75008e+23,2.18125e+23
152.0,1.52066e+24,8.0852e+23,3.06706e+23
153.0,2.1382e+24,1.13686e+24,4.31259e+23
154.0,3.00652e+24,1.59854e+24,6.06394e+23
155.0,4.22747e+24,2.24771e+24,8.52652e+23
156.0,5.94426e+24,3.16051e+24,1.19891e+24
157.0,8.35823e+24,4.444e+24,1.6858e+24
158.0,1.17525e+25,6.24871e+24,2.3704e+24
159.0,1.65252e+25,8.78632e+24,3.33302e+24
160.0,2.32361e+25,1.23545e+25,4.68657e+24
161.0,3.26724e+25,1.73716e+25,6.58979e+24
162.0,4.59407e+25,2.44263e+25,9.26591e+24
