"Points:0","Points:1","Points:2","T","coords:0","coords:1","coords:2"
-1.210719347e-08,-0.009138682857,0.002841731301,311.3870544,-1.210719347e-08,-0.009138682857,0.002841731301
-1.210719347e-08,-0.0091161374,0.003400777001,312.3505249,-1.210719347e-08,-0.0091161374,0.003400777001
-1.210719347e-08,-0.008591867052,0.00284237531,312.1517639,-1.210719347e-08,-0.008591867052,0.00284237531
-1.210719347e-08,-0.008591593243,0.003380764974,313.8457947,-1.210719347e-08,-0.008591593243,0.003380764974
-1.210719347e-08,-0.008055670187,0.002840823727,312.3371887,-1.210719347e-08,-0.008055670187,0.002840823727
-1.210719347e-08,-0.0080636153,0.003364409553,314.4376831,-1.210719347e-08,-0.0080636153,0.003364409553
-1.210719347e-08,-0.007530394476,0.002838450251,312.2702637,-1.210719347e-08,-0.007530394476,0.002838450251
-1.210719347e-08,-0.007540847175,0.003352851141,315.163269,-1.210719347e-08,-0.007540847175,0.003352851141
-1.210719347e-08,-0.007015222218,0.002836855827,312.8526611,-1.210719347e-08,-0.007015222218,0.002836855827
-1.210719347e-08,-0.007025077008,0.003346937709,315.6442871,-1.210719347e-08,-0.007025077008,0.003346937709
-1.210719347e-08,-0.006506988779,0.002835741965,313.0209961,-1.210719347e-08,-0.006506988779,0.002835741965
-1.210719347e-08,-0.006514701527,0.00334241963,316.2219849,-1.210719347e-08,-0.006514701527,0.00334241963
-1.210719347e-08,-0.005000930745,0.002834440675,313.2952576,-1.210719347e-08,-0.005000930745,0.002834440675
-1.210719347e-08,-0.005003449973,0.003337931819,316.5789185,-1.210719347e-08,-0.005003449973,0.003337931819
-1.210719347e-08,-0.004500471987,0.002834238578,313.699707,-1.210719347e-08,-0.004500471987,0.002834238578
-1.210719347e-08,-0.004502113909,0.003336933441,316.6735229,-1.210719347e-08,-0.004502113909,0.003336933441
-1.210719347e-08,-0.003510258859,0.002834034152,313.7504578,-1.210719347e-08,-0.003510258859,0.002834034152
-1.210719347e-08,-0.003501022002,0.003336132504,316.5545349,-1.210719347e-08,-0.003501022002,0.003336132504
-1.210719347e-08,-0.003501010826,0.003329008352,315.2277527,-1.210719347e-08,-0.003501010826,0.003329008352
-1.210719347e-08,-0.004000283312,0.002834154293,313.3719788,-1.210719347e-08,-0.004000283312,0.002834154293
-1.210719347e-08,-0.004001516383,0.00333674578,317.0409851,-1.210719347e-08,-0.004001516383,0.00333674578
-1.210719347e-08,-0.002000447595,0.003335755551,316.5285034,-1.210719347e-08,-0.002000447595,0.003335755551
