time_s,T_degC,current_A,Q_ecm_W,Q_ref_W,err_pct
60.0,24.975000000000023,0.6189518435712715,0.008254210688228108,-0.030969,126.65313923028869
120.0,24.959000000000003,0.0,0.0,0.0,nan
180.0,24.932000000000016,0.5492570075175403,0.008068324053397927,-0.023492,134.3449857542905
240.0,24.92500000000001,0.0,0.0,0.0,nan
300.0,24.939999999999998,1.2492773155182098,0.028394355504809787,-0.029181,197.30425792402517
360.0,24.930000000000007,0.0,0.0,0.0,nan
420.0,24.92100000000005,2.62e-14,7.709470127735193e-17,-0.0,nan
480.0,24.923000000000002,0.0,0.0,0.0,nan
540.0,24.920000000000016,1.8182519705734657,0.0489766971139663,-0.04142,218.24407801537012
600.0,24.92100000000005,4.52e-13,2.181069171116215e-15,-0.0,nan
660.0,24.93900000000002,0.0,0.0,0.0,nan
720.0,24.938000000000045,1.9523585511825994,0.05619933626937546,-0.033066,269.9610968044985
780.0,25.007000000000005,5.515154333710009,0.3879561710751985,0.197695,96.2397486406831
840.0,25.067000000000007,3.858261017291836,0.21552858522817814,0.067309,220.2076768755711
900.0,25.208000000000027,1.4393095750402158,0.04446304143895666,-0.000649,6951.0079258793
960.0,25.269000000000005,7.164028088408829,0.6518852541087738,0.330748,97.09423915149112
1020.0,25.295000000000016,0.0,0.0,0.0,nan
1080.0,25.39100000000002,6.551463606728744,0.529637275071227,0.364798,45.18645252200588
1140.0,25.482000000000028,0.551913342515646,0.011659239311378144,-0.005174,325.34285487781494
1200.0,26.27600000000001,12.017283411642671,1.681969783996892,1.719124,-2.161229556629318
1260.0,27.057000000000016,4.322330719712264,0.27425488902987527,0.27435,-0.03466774927089927
1320.0,27.272000000000048,6.204633321359444,0.5033807495193697,0.434427,15.872344379923376
1380.0,27.438000000000045,0.0,0.0,0.0,nan
1440.0,27.398000000000025,0.0,0.0,-0.0,nan
1500.0,27.313000000000045,3.607213159490585,0.1681308317409582,0.104853,60.34909038459385
1560.0,28.158000000000015,17.87406726281707,3.4881143444942744,3.723706,-6.326806023507913
1620.0,31.489000000000033,19.76762200742179,4.203567317896872,4.698451,-10.532911423427176
1680.0,34.82600000000002,18.22151652685042,3.512130316212809,4.278545,-17.912974709561112
1740.0,38.394000000000005,2.9533761034047274,0.14652264098336604,0.180827,-18.970816867300762
1800.0,37.860000000000014,0.0,0.0,0.0,nan
1860.0,37.24200000000002,0.6183847286402734,0.01130997145146282,-0.017489,164.66905741587752
1920.0,36.65500000000003,0.0,0.0,0.0,nan
1980.0,36.087000000000046,0.5502448119495095,0.008873561770299975,-0.013017,168.16902335637994
2040.0,35.56800000000004,0.0,0.0,0.0,nan
2100.0,35.09100000000001,1.2514581948746946,0.027898718102611547,-0.007264,484.06825581789025
2160.0,34.60200000000003,0.0,0.0,0.0,nan
2220.0,34.137,2.13e-13,8.052830137465064e-16,0.0,nan
2280.0,33.70100000000002,0.0,0.0,0.0,nan
2340.0,33.281000000000006,1.8156396804452242,0.04647233834082992,-0.014154,428.33360421668726
2400.0,32.88100000000003,1.81e-12,2.209093840082537e-14,0.0,nan
2460.0,32.553,0.0,0.0,0.0,nan
2520.0,32.20800000000003,1.9507956846193366,0.05754090581675347,0.009962,477.60395318965533
2580.0,31.989000000000033,5.513806250510177,0.3686080223914246,0.345155,6.794924712498618
2640.0,31.78400000000005,3.842264672998877,0.20485989756547596,0.175225,16.912482559837905
2700.0,31.712000000000046,1.4399301902577586,0.04381823966137135,0.045254,-3.172670567526968
2760.0,31.524,7.192239189288597,0.6181078199207521,0.508918,21.455287476715732
2820.0,31.266999999999996,0.0,0.0,0.0,nan
2880.0,31.15300000000002,6.5531619341387755,0.5000811503578073,0.562691,-11.12686174866716
2940.0,31.03400000000005,0.5523733787899295,0.011662358908511403,0.011964,-2.521239480847526
3000.0,31.747000000000014,12.02945146320617,1.5857394424743316,1.990392,-20.33029461159753
3060.0,32.44100000000003,4.321774201842203,0.2623614093884152,0.411452,-36.235232933995896
3120.0,32.57600000000002,6.217953829010055,0.4807617100822608,0.709826,-32.270484586044915
3180.0,32.656000000000006,0.0,0.0,0.0,nan
3240.0,32.47700000000003,0.0,0.0,0.0,nan
3300.0,32.224000000000046,3.6020029001760623,0.16077214149290625,0.352836,-54.43431466944806
3360.0,33.297000000000025,17.87487240654554,3.283528991216398,4.719065,-30.419924471979133
3420.0,37.39500000000004,19.77480468282643,3.9302894976222458,6.443996,-39.00850500803778
3480.0,41.900000000000034,18.205441606683284,3.241670255427032,6.055955,-46.471361570106914
3540.0,47.291,2.953524402149653,0.13933265070702122,0.724977,-80.78109364751968
3600.0,46.74000000000001,0.0,0.0,0.0,nan
