"Points:0","Points:1","Points:2","T","coords:0","coords:1","coords:2"
-0.003019196447,-0.007061806973,0.01165827736,322.3569031,-0.003019196447,-0.007061806973,0.01165827736
-0.00400640117,-0.007030301262,0.01165827736,320.3252869,-0.00400640117,-0.007030301262,0.01165827736
-0.003020081669,-0.008026777767,0.01165827736,318.3696899,-0.003020081669,-0.008026777767,0.01165827736
-0.004019073676,-0.008050678298,0.01165827736,315.0826721,-0.004019073676,-0.008050678298,0.01165827736
-0.003531725379,-0.008136162534,0.01165827736,316.5445251,-0.003531725379,-0.008136162534,0.01165827736
-0.0041003027,-0.007553196512,0.01165827736,317.765686,-0.0041003027,-0.007553196512,0.01165827736
-0.002012432087,-0.007062363904,0.01165827736,323.1154785,-0.002012432087,-0.007062363904,0.01165827736
-0.002010709606,-0.00802290719,0.01165827736,319.8785706,-0.002010709606,-0.00802290719,0.01165827736
-0.002515956294,-0.008143456653,0.01165827736,317.5337219,-0.002515956294,-0.008143456653,0.01165827736
-0.001005628263,-0.007064247504,0.01165827736,323.849762,-0.001005628263,-0.007064247504,0.01165827736
-0.00100330764,-0.008024530485,0.01165827736,320.7207336,-0.00100330764,-0.008024530485,0.01165827736
-0.001505915658,-0.008125310764,0.01165827736,318.8908997,-0.001505915658,-0.008125310764,0.01165827736
-1.737739836e-07,-0.007067889906,0.01165827736,323.8354187,-1.737739836e-07,-0.007067889906,0.01165827736
-1.81170364e-07,-0.008037507534,0.01165827736,320.7373047,-1.81170364e-07,-0.008037507534,0.01165827736
-0.0005014839699,-0.008141919971,0.01165827736,319.4481201,-0.0005014839699,-0.008141919971,0.01165827736
0.001005343278,-0.007064240519,0.01165827736,323.7841797,0.001005343278,-0.007064240519,0.01165827736
0.001003218349,-0.008024478331,0.01165827736,320.7494812,0.001003218349,-0.008024478331,0.01165827736
0.0005012117326,-0.008141906932,0.01165827736,319.4772949,0.0005012117326,-0.008141906932,0.01165827736
0.002012186451,-0.007062355522,0.01165827736,322.970459,0.002012186451,-0.007062355522,0.01165827736
0.002010758268,-0.008022702299,0.01165827736,319.9656982,0.002010758268,-0.008022702299,0.01165827736
0.001506006229,-0.008125208318,0.01165827736,319.0093994,0.001506006229,-0.008125208318,0.01165827736
0.003018793184,-0.007061871234,0.01165827736,321.8221436,0.003018793184,-0.007061871234,0.01165827736
0.003019620199,-0.008026717231,0.01165827736,318.4759827,0.003019620199,-0.008026717231,0.01165827736
0.002515524393,-0.008143273182,0.01165827736,317.7526245,0.002515524393,-0.008143273182,0.01165827736
0.004005242605,-0.007030868437,0.01165827736,320.0788574,0.004005242605,-0.007030868437,0.01165827736
0.004016760737,-0.008051645011,0.01165827736,314.3382263,0.004016760737,-0.008051645011,0.01165827736
0.003530825255,-0.00813639164,0.01165827736,316.8300171,0.003530825255,-0.00813639164,0.01165827736
0.004098917358,-0.007553901989,0.01165827736,317.2506714,0.004098917358,-0.007553901989,0.01165827736
-0.00402498059,-0.006046974566,0.01165827736,323.8891602,-0.00402498059,-0.006046974566,0.01165827736
-0.004997904412,-0.006012706552,0.01165827736,321.5931396,-0.004997904412,-0.006012706552,0.01165827736
-0.005028649699,-0.007058012299,0.01165827736,316.8941956,-0.005028649699,-0.007058012299,0.01165827736
-0.005097418092,-0.006547966972,0.01165827736,319.5471191,-0.005097418092,-0.006547966972,0.01165827736
-0.004531410988,-0.007130082231,0.01165827736,318.221283,-0.004531410988,-0.007130082231,0.01165827736
-0.003019594355,-0.006051448174,0.01165827736,325.0662231,-0.003019594355,-0.006051448174,0.01165827736
-0.00201315945,-0.006053721532,0.01165827736,326.1045532,-0.00201315945,-0.006053721532,0.01165827736
-0.001006525359,-0.006055422127,0.01165827736,326.6751099,-0.001006525359,-0.006055422127,0.01165827736
-1.965864556e-07,-0.006056770217,0.01165827736,326.8581543,-1.965864556e-07,-0.006056770217,0.01165827736
0.001006156439,-0.006055384874,0.01165827736,326.6923218,0.001006156439,-0.006055384874,0.01165827736
0.002012796234,-0.006053653546,0.01165827736,326.1416931,0.002012796234,-0.006053653546,0.01165827736
0.003019184107,-0.006051395088,0.01165827736,324.8228455,0.003019184107,-0.006051395088,0.01165827736
0.004024443217,-0.006046994124,0.01165827736,323.4141235,0.004024443217,-0.006046994124,0.01165827736
0.004997096956,-0.006013067905,0.01165827736,321.3268738,0.004997096956,-0.006013067905,0.01165827736
0.005026828963,-0.007059218828,0.01165827736,316.7477722,0.005026828963,-0.007059218828,0.01165827736
0.00509628281,-0.006548677571,0.01165827736,319.1665955,0.00509628281,-0.006548677571,0.01165827736
0.004530095495,-0.007130838465,0.01165827736,318.8457336,0.004530095495,-0.007130838465,0.01165827736
-0.005033365916,-0.005031851586,0.01165827736,324.3687744,-0.005033365916,-0.005031851586,0.01165827736
-0.006016308907,-0.004995500669,0.01165827736,321.6247864,-0.006016308907,-0.004995500669,0.01165827736
-0.005987870041,-0.005986273754,0.01165827736,317.9246521,-0.005987870041,-0.005986273754,0.01165827736
-0.005514472257,-0.006096140482,0.01165827736,319.3293457,-0.005514472257,-0.006096140482,0.01165827736
-0.00610019546,-0.005512231961,0.01165827736,319.9733582,-0.00610019546,-0.005512231961,0.01165827736
-0.004027161747,-0.005037648138,0.01165827736,325.8944702,-0.004027161747,-0.005037648138,0.01165827736
-0.003020756179,-0.005041495897,0.01165827736,327.2086182,-0.003020756179,-0.005041495897,0.01165827736
-0.002013947116,-0.005044046324,0.01165827736,328.0197449,-0.002013947116,-0.005044046324,0.01165827736
