time_s,delta_t_s,step_id,t_eff_k,alpha,q_raw_w,q_target_w,q_applied_w,source_sum_openfoam_w
0.10000000000000001,0.10000000000000001,1,298.15000000000055,1,19.362792871646803,19.362792871646803,19.362792871646803,19.362792871646803
0.20000000000000001,0.10000000000000001,2,298.18292401511576,1,19.604556354426098,19.604556354426098,19.604556354426098,19.604556354426098
0.30000000000000004,0.10000000000000001,3,298.21547392345502,1,19.83751248557364,19.83751248557364,19.83751248557364,19.83751248557364
0.40000000000000002,0.10000000000000001,4,298.24781003249615,1,20.058800573748073,20.058800573748073,20.058800573748073,20.058800573748073
0.5,0.10000000000000001,5,298.28000453736797,1,20.269118228171138,20.269118228171138,20.269118228171138,20.269118228171138
0.59999999999999998,0.10000000000000001,6,298.31209701951411,1,20.469100308677675,20.469100308677675,20.469100308677675,20.469100308677675
0.69999999999999996,0.10000000000000001,7,298.34411049936676,1,20.659251448697777,20.659251448697777,20.659251448697777,20.659251448697777
0.79999999999999993,0.10000000000000001,8,298.37605820348409,1,20.840341155170979,20.840341155170979,20.840341155170979,20.840341155170979
0.89999999999999991,0.10000000000000001,9,298.40794822985401,1,21.013068383269637,21.013068383269637,21.013068383269637,21.013068383269637
0.99999999999999989,0.10000000000000001,10,298.43978513793542,1,21.177712338965822,21.177712338965822,21.177712338965822,21.177712338965822
1.0999999999999999,0.10000000000000001,11,298.47157083434007,1,21.33490749591444,21.33490749591444,21.33490749591444,21.33490749591444
1.2,0.10000000000000001,12,298.50330592540735,1,21.484685406278167,21.484685406278167,21.484685406278167,21.484685406278167
1.3,0.10000000000000001,13,298.53498934254071,1,21.627488418977507,21.627488418977507,21.627488418977507,21.627488418977507
1.4000000000000001,0.10000000000000001,14,298.56661941479842,1,21.763828398508259,21.763828398508259,21.763828398508259,21.763828398508259
1.5000000000000002,0.10000000000000001,15,298.59819427967966,1,21.894047520127909,21.894047520127909,21.894047520127909,21.894047520127909
1.6000000000000003,0.10000000000000001,16,298.62971169932518,1,22.018294617276499,22.018294617276499,22.018294617276499,22.018294617276499
1.7000000000000004,0.10000000000000001,17,298.66116890910519,1,22.137020590467596,22.137020590467596,22.137020590467596,22.137020590467596
1.8000000000000005,0.10000000000000001,18,298.69256342817602,1,22.251584723877077,22.251584723877077,22.251584723877077,22.251584723877077
1.9000000000000006,0.10000000000000001,19,298.72389450539259,1,22.363651823637408,22.363651823637408,22.363651823637408,22.363651823637408
2.0000000000000004,0.10000000000000001,20,298.75516375193683,1,22.47245438438155,22.47245438438155,22.47245438438155,22.47245438438155
2.1000000000000005,0.10000000000000001,21,298.78637108294566,1,22.576923081187168,22.576923081187168,22.576923081187168,22.576923081187168
2.2000000000000006,0.10000000000000001,22,298.81751426914389,1,22.677312487545613,22.677312487545613,22.677312487545613,22.677312487545613
2.3000000000000007,0.10000000000000001,23,298.84859117916386,1,22.773829638022676,22.773829638022676,22.773829638022676,22.773829638022676
2.4000000000000008,0.10000000000000001,24,298.87959978452483,1,22.86677482520242,22.86677482520242,22.86677482520242,22.86677482520242
2.5000000000000009,0.10000000000000001,25,298.9105383565738,1,22.956399758713037,22.956399758713037,22.956399758713037,22.956399758713037
2.600000000000001,0.10000000000000001,26,298.9414053452993,1,23.042868090439587,23.042868090439587,23.042868090439587,23.042868090439587
2.7000000000000011,0.10000000000000001,27,298.9721992007722,1,23.126395346044553,23.126395346044553,23.126395346044553,23.126395346044553
2.8000000000000012,0.10000000000000001,28,299.00291844029852,1,23.20706507630004,23.20706507630004,23.20706507630004,23.20706507630004
2.9000000000000012,0.10000000000000001,29,299.03356159270277,1,23.285273068647797,23.285273068647797,23.285273068647797,23.285273068647797
3.0000000000000013,0.10000000000000001,30,299.06412767912639,1,23.360923880331079,23.360923880331079,23.360923880331079,23.360923880331079
